Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Vertical Position,0.06,0
,,
,,
,,
Label,M2024,M2030
TIME,CH1,CH4
-1.737600e-05,1.42,-0.04
-1.737200e-05,1.42,-0.04
-1.736800e-05,1.46,0
-1.736400e-05,1.38,0
-1.736000e-05,1.46,-0.04
-1.735600e-05,1.42,0
-1.735200e-05,1.46,0
-1.734800e-05,1.42,-0.04
-1.734400e-05,1.42,0
-1.734000e-05,1.46,-0.04
-1.733600e-05,1.38,-0.04
-1.733200e-05,1.38,-0.04
-1.732800e-05,1.38,-0.04
-1.732400e-05,1.38,-0.04
-1.732000e-05,1.42,-0.04
-1.731600e-05,1.38,-0.04
-1.731200e-05,1.38,0
-1.730800e-05,1.42,0
-1.730400e-05,1.42,0
-1.730000e-05,1.42,0
-1.729600e-05,1.42,-0.04
-1.729200e-05,1.42,0
-1.728800e-05,1.42,0
-1.728400e-05,1.42,0
-1.728000e-05,1.42,-0.04
-1.727600e-05,1.42,-0.04
-1.727200e-05,1.42,-0.04
-1.726800e-05,1.42,-0.04
-1.726400e-05,1.42,0
-1.726000e-05,1.42,-0.04
-1.725600e-05,1.38,0
-1.725200e-05,1.42,-0.04
-1.724800e-05,1.42,-0.04
-1.724400e-05,1.42,-0.04
-1.724000e-05,1.38,-0.04
-1.723600e-05,1.42,0
-1.723200e-05,1.42,0
-1.722800e-05,1.42,0
-1.722400e-05,1.42,0
-1.722000e-05,1.46,-0.04
-1.721600e-05,1.42,-0.04
-1.721200e-05,1.38,-0.04
-1.720800e-05,1.42,-0.04
-1.720400e-05,1.42,-0.04
-1.720000e-05,1.42,0
-1.719600e-05,1.42,-0.04
-1.719200e-05,1.38,-0.04
-1.718800e-05,1.38,0
-1.718400e-05,1.42,-0.04
-1.718000e-05,1.42,0
-1.717600e-05,1.42,0
-1.717200e-05,1.42,-0.04
-1.716800e-05,1.42,-0.04
-1.716400e-05,1.42,-0.04
-1.716000e-05,1.46,-0.04
-1.715600e-05,1.42,0
-1.715200e-05,1.46,-0.04
-1.714800e-05,1.38,-0.04
-1.714400e-05,1.38,0
-1.714000e-05,1.38,0
-1.713600e-05,1.46,-0.04
-1.713200e-05,1.38,0
-1.712800e-05,1.42,0
-1.712400e-05,1.38,-0.04
-1.712000e-05,1.38,-0.04
-1.711600e-05,1.46,-0.04
-1.711200e-05,1.46,-0.04
-1.710800e-05,1.38,-0.04
-1.710400e-05,1.42,0
-1.710000e-05,1.42,-0.04
-1.709600e-05,1.42,0
-1.709200e-05,1.42,0
-1.708800e-05,1.38,-0.04
-1.708400e-05,1.38,-0.04
-1.708000e-05,1.42,-0.04
-1.707600e-05,1.42,-0.04
-1.707200e-05,1.38,-0.04
-1.706800e-05,1.42,0
-1.706400e-05,1.42,-0.04
-1.706000e-05,1.42,-0.04
-1.705600e-05,1.42,-0.04
-1.705200e-05,1.38,-0.04
-1.704800e-05,1.38,0
-1.704400e-05,1.42,0
-1.704000e-05,1.42,-0.04
-1.703600e-05,1.42,-0.04
-1.703200e-05,1.42,-0.04
-1.702800e-05,1.42,0.04
-1.702400e-05,1.42,-0.04
-1.702000e-05,1.42,-0.04
-1.701600e-05,1.42,0
-1.701200e-05,1.42,-0.04
-1.700800e-05,1.46,-0.04
-1.700400e-05,1.46,-0.04
-1.700000e-05,1.42,-0.04
-1.699600e-05,1.42,-0.04
-1.699200e-05,1.38,0
-1.698800e-05,1.42,0
-1.698400e-05,1.46,-0.04
-1.698000e-05,1.42,-0.04
-1.697600e-05,1.38,-0.04
-1.697200e-05,1.46,-0.04
-1.696800e-05,1.38,-0.04
-1.696400e-05,1.46,-0.04
-1.696000e-05,1.42,-0.04
-1.695600e-05,1.42,-0.04
-1.695200e-05,1.46,0
-1.694800e-05,1.38,0
