Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,1
Vertical Position,0,0
,,
,,
,,
Label,M2024,
TIME,CH1,CH2
-4.284000e+00,0.56,3.4
-4.283000e+00,0.7,3.44
-4.282000e+00,0.7,3.44
-4.281000e+00,0.82,3.4
-4.280000e+00,0.72,3.4
-4.279000e+00,0.64,3.36
-4.278000e+00,0.66,3.44
-4.277000e+00,0.16,3.4
-4.276000e+00,0.32,3.44
-4.275000e+00,0.48,3.44
-4.274000e+00,0.38,3.4
-4.273000e+00,0.46,3.4
-4.272000e+00,0.58,3.4
-4.271000e+00,0.6,3.44
-4.270000e+00,0.58,3.4
-4.269000e+00,0.6,3.4
-4.268000e+00,0.64,3.4
-4.267000e+00,0.62,3.44
-4.266000e+00,1.04,3.4
-4.265000e+00,0.36,3.48
-4.264000e+00,0.76,3.44
-4.263000e+00,0.7,3.44
-4.262000e+00,0.6,3.4
-4.261000e+00,0.56,3.4
-4.260000e+00,0.2,3.44
-4.259000e+00,0.38,3.4
-4.258000e+00,0.4,3.36
-4.257000e+00,0.92,3.4
-4.256000e+00,0.58,3.4
-4.255000e+00,0.56,3.44
-4.254000e+00,0.58,3.44
-4.253000e+00,0.62,3.4
-4.252000e+00,0.72,3.48
-4.251000e+00,0.56,3.4
-4.250000e+00,0.62,3.4
-4.249000e+00,1.04,3.4
-4.248000e+00,0.66,3.4
-4.247000e+00,0.74,3.4
-4.246000e+00,0.6,3.4
-4.245000e+00,0.6,3.44
-4.244000e+00,0.52,3.4
-4.243000e+00,0.28,3.44
-4.242000e+00,0.4,3.4
-4.241000e+00,0.32,3.4
-4.240000e+00,0,3.44
-4.239000e+00,0.6,3.4
-4.238000e+00,0.6,3.4
-4.237000e+00,0.58,3.44
-4.236000e+00,0.52,3.4
-4.235000e+00,0.38,3.4
-4.234000e+00,0.62,3.4
-4.233000e+00,0.6,3.44
-4.232000e+00,0.76,3.36
-4.231000e+00,0.7,3.4
-4.230000e+00,0.56,3.44
-4.229000e+00,0.56,3.44
-4.228000e+00,0.5,3.4
-4.227000e+00,0.1,3.44
-4.226000e+00,0.32,3.44
-4.225000e+00,0.36,3.4
-4.224000e+00,0.32,3.4
-4.223000e+00,0.48,3.44
-4.222000e+00,0.46,3.4
-4.221000e+00,0.5,3.36
-4.220000e+00,0.46,3.4
