Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.002,,,
Horizontal Delay,0,,,
Sample Interval,2e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,1,10,1
Vertical Units,V,V,V,V
Vertical Offset,0,-30.8,0,0
Vertical Scale,1,10,1,1
Vertical Position,0,0,0.02,-0.1
,,,,
,,,,
,,,,
Label,,,,M
TIME,CH1,CH2,CH3,CH4
-9.206000e-03,0.657813,17.7594,1.40219,4.09859
-9.204000e-03,0.654062,17.7547,1.40719,4.1125
-9.202000e-03,0.657813,17.7813,1.40375,4.10875
-9.200000e-03,0.661875,17.7312,1.39891,4.11187
-9.198000e-03,0.654375,17.8047,1.40141,4.10391
-9.196000e-03,0.657188,17.7047,1.39766,4.115
-9.194000e-03,0.655625,17.7,1.40219,4.10719
-9.192000e-03,0.652969,17.7297,1.39594,4.09938
-9.190000e-03,0.659844,17.7453,1.40703,4.10875
-9.188000e-03,0.645625,17.7141,1.39578,4.11328
-9.186000e-03,0.6525,17.7375,1.39578,4.10766
-9.184000e-03,0.646406,17.8156,1.39578,4.11672
-9.182000e-03,0.657656,17.7375,1.39828,4.09969
-9.180000e-03,0.651563,17.7406,1.39609,4.11125
-9.178000e-03,0.650625,17.6609,1.40187,4.11031
-9.176000e-03,0.650625,17.7125,1.40437,4.10047
-9.174000e-03,0.654844,17.8141,1.39281,4.10406
-9.172000e-03,0.644062,17.7531,1.39734,4.10922
-9.170000e-03,0.644375,17.7703,1.39969,4.10734
-9.168000e-03,0.655469,17.8234,1.39734,4.10422
-9.166000e-03,0.657813,17.7219,1.39953,4.11109
-9.164000e-03,0.652188,17.7563,1.39859,4.11359
-9.162000e-03,0.647344,17.7312,1.40688,4.10781
-9.160000e-03,0.643906,17.7641,1.4025,4.10422
-9.158000e-03,0.653438,17.8,1.39906,4.10844
-9.156000e-03,0.647656,17.8219,1.39109,4.10391
-9.154000e-03,0.639375,17.7813,1.40156,4.10344
-9.152000e-03,0.646406,17.7937,1.40359,4.10875
-9.150000e-03,0.652031,17.725,1.39656,4.11516
-9.148000e-03,0.651719,17.8688,1.40672,4.10969
-9.146000e-03,0.648906,17.7656,1.39734,4.11281
-9.144000e-03,0.643437,17.7891,1.39969,4.10047
-9.142000e-03,0.646563,17.7734,1.39734,4.11109
-9.140000e-03,0.638281,17.7016,1.3925,4.10687
-9.138000e-03,0.642813,17.7234,1.40063,4.11031
-9.136000e-03,0.65125,17.7594,1.39781,4.11469
-9.134000e-03,0.637656,17.8328,1.40312,4.10406
-9.132000e-03,0.638594,17.7906,1.39781,4.10906
-9.130000e-03,0.646719,17.6656,1.39938,4.10687
-9.128000e-03,0.639219,17.7578,1.40578,4.09953
-9.126000e-03,0.638437,17.7375,1.39125,4.10875
-9.124000e-03,0.638281,17.75,1.39875,4.11297
