Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.0002,,
Horizontal Delay,0,,
Sample Interval,2e-07,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-9.066000e-04,-0.0184375,1.76297,3.23969
-9.064000e-04,-0.0173438,1.76547,3.24109
-9.062000e-04,-0.02,1.76156,3.23734
-9.060000e-04,-0.0195312,1.76281,3.23828
-9.058000e-04,-0.019375,1.76391,3.23672
-9.056000e-04,-0.0195312,1.76109,3.23625
-9.054000e-04,-0.02,1.76109,3.23859
-9.052000e-04,-0.0179688,1.76469,3.24188
-9.050000e-04,-0.0192187,1.76172,3.23234
-9.048000e-04,-0.02,1.76313,3.23734
-9.046000e-04,-0.0198438,1.76297,3.23563
-9.044000e-04,-0.0189062,1.76484,3.23516
-9.042000e-04,-0.0201563,1.76391,3.24
-9.040000e-04,-0.018125,1.76344,3.23609
-9.038000e-04,-0.0178125,1.76484,3.23875
-9.036000e-04,-0.0196875,1.76375,3.23594
-9.034000e-04,-0.0178125,1.76656,3.24031
-9.032000e-04,-0.0204688,1.76125,3.23625
-9.030000e-04,-0.0182812,1.76656,3.23656
-9.028000e-04,-0.0201563,1.7625,3.23766
-9.026000e-04,-0.019375,1.76266,3.23516
-9.024000e-04,-0.0203125,1.76094,3.23719
-9.022000e-04,-0.0198438,1.76344,3.23641
-9.020000e-04,-0.02,1.76094,3.23141
-9.018000e-04,-0.019375,1.76422,3.235
-9.016000e-04,-0.0189062,1.76578,3.24375
-9.014000e-04,-0.0185937,1.76375,3.23703
-9.012000e-04,-0.0189062,1.76406,3.23719
-9.010000e-04,-0.02,1.76281,3.23547
-9.008000e-04,-0.02,1.76188,3.23719
-9.006000e-04,-0.018125,1.76531,3.23828
-9.004000e-04,-0.02,1.76063,3.235
-9.002000e-04,-0.01875,1.76266,3.23438
-9.000000e-04,-0.0173438,1.76562,3.23859
